id,ID,Commanditaire_Collectivite_locale,nbre_marches_CT,type_marche,Commanditaire_adresse,Commanditaire_CP,montant_ou_moyenne,nom_frn,type_frn,lib93_independant,cp_frn,adresse_frn,ville_frn,adresse_cp_command,adresse_cp_frn,lat_long_frn,lat_long_comm,command_variant_address
69,70,ROMAINVILLE,marché 1,"non scolaires ""livres de récompense""",Place de la Laïcité,93230,30000,quantin,GFS,non,93220,13 avenue des Bleuets,GAGNY,"Place de la Laïcité, ROMAINVILLE, France","13 avenue des Bleuets, GAGNY, France","48.8898362,2.5478564","48.8854513,2.4355995","Place de la Laïcité, 93230, France"
70,71,ROMAINVILLE,marché 1,services de la collectivité locale sans livres scolaires,Place de la Laïcité,93230,1200,pipelettes,LGE,oui,93230,72 rue Carnot,ROMAINVILLE,"Place de la Laïcité, ROMAINVILLE, France","72 rue Carnot, ROMAINVILLE, France","48.8839337,2.4402351","48.8854513,2.4355995","Place de la Laïcité, 93230, France"
71,72,ROMAINVILLE,marché 1,services de la collectivité locale sans livres scolaires,Place de la Laïcité,93230,20000,pipelettes,LGE,oui,93230,72 rue Carnot,ROMAINVILLE,"Place de la Laïcité, ROMAINVILLE, France","72 rue Carnot, ROMAINVILLE, France","48.8839337,2.4402351","48.8854513,2.4355995","Place de la Laïcité, 93230, France"
72,73,ROMAINVILLE,marché 2,médiathèque,Rue Albert Giry - Quartier Marcel Cachin ,93230,7750,BDnET,LS,non,75011,26 rue de Charonne,PARIS,"Rue Albert Giry - Quartier Marcel Cachin , ROMAINVILLE, France","26 rue de Charonne, PARIS, France","48.8528208,2.3757083","48.886112,2.435048","Rue Albert Giry - Quartier Marcel Cachin , 93230, France"
73,74,ROMAINVILLE,marché 2,médiathèque,Rue Albert Giry - Quartier Marcel Cachin ,93230,12750,colibrije,GFS,non,93100,2-20 avenue Salvador Allende ZI Mozinor,MONTREUIL,"Rue Albert Giry - Quartier Marcel Cachin , ROMAINVILLE, France","2-20 avenue Salvador Allende ZI Mozinor, MONTREUIL, France","48.863812,2.448451","48.886112,2.435048","Rue Albert Giry - Quartier Marcel Cachin , 93230, France"
74,75,ROMAINVILLE,marché 2,médiathèque,Rue Albert Giry - Quartier Marcel Cachin ,93230,12750,CVS,GFS,non,93100,6-8 rue Gaston Lauriau,MONTREUIL,"Rue Albert Giry - Quartier Marcel Cachin , ROMAINVILLE, France","6-8 rue Gaston Lauriau, MONTREUIL, France","48.860623,2.4437961","48.886112,2.435048","Rue Albert Giry - Quartier Marcel Cachin , 93230, France"
75,76,ROMAINVILLE,marché 2,médiathèque,Rue Albert Giry - Quartier Marcel Cachin ,93230,12750,Libr'est,GFS,non,94200,128 bis avenue Jean Jaurès,IVRY-SUR-SEINE,"Rue Albert Giry - Quartier Marcel Cachin , ROMAINVILLE, France","128 bis avenue Jean Jaurès, IVRY-SUR-SEINE, France","48.8052596,2.405024","48.886112,2.435048","Rue Albert Giry - Quartier Marcel Cachin , 93230, France"
76,77,ROMAINVILLE,marché 2,médiathèque,Rue Albert Giry - Quartier Marcel Cachin ,93230,12750,pipelettes,LGE,oui,93230,72 rue Carnot,ROMAINVILLE,"Rue Albert Giry - Quartier Marcel Cachin , ROMAINVILLE, France","72 rue Carnot, ROMAINVILLE, France","48.8839337,2.4402351","48.886112,2.435048","Rue Albert Giry - Quartier Marcel Cachin , 93230, France"
77,78,ROSNY-SOUS-BOIS,marché 1,livres scolaires,20 rue Claude Pernès,93110,140000,Pichon papeterie,GFS,non,42350,97 rue Jean Perrin,LA TALAUDIÈRE,"20 rue Claude Pernès, ROSNY-SOUS-BOIS, France","97 rue Jean Perrin, LA TALAUDIÈRE, France","45.4667536,4.4225466","48.8721036,2.4883129","20 rue Claude Pernès, 93110, France"
78,79,ROSNY-SOUS-BOIS,marché 1,médiathèque,20 mail Jean-Pierre Timbaud - Centre Jean Vilar,93110,60000,BDnET,LS,non,75011,26 rue de Charonne,PARIS,"20 mail Jean-Pierre Timbaud - Centre Jean Vilar, ROSNY-SOUS-BOIS, France","26 rue de Charonne, PARIS, France","48.8528208,2.3757083","48.875661,2.485932","20 mail Jean-Pierre Timbaud - Centre Jean Vilar, 93110, France"
79,80,ROSNY-SOUS-BOIS,marché 1,médiathèque,20 mail Jean-Pierre Timbaud - Centre Jean Vilar,93110,165000,biblioteca,X,non,75006,14 rue Serpente,PARIS,"20 mail Jean-Pierre Timbaud - Centre Jean Vilar, ROSNY-SOUS-BOIS, France","14 rue Serpente, PARIS, France","48.8520214,2.3429838","48.875661,2.485932","20 mail Jean-Pierre Timbaud - Centre Jean Vilar, 93110, France"
80,81,ROSNY-SOUS-BOIS,marché 1,médiathèque,20 mail Jean-Pierre Timbaud - Centre Jean Vilar,93110,102500,colibrije,GFS,non,93100,2-20 avenue Salvador Allende ZI Mozinor,MONTREUIL,"20 mail Jean-Pierre Timbaud - Centre Jean Vilar, ROSNY-SOUS-BOIS, France","2-20 avenue Salvador Allende ZI Mozinor, MONTREUIL, France","48.863812,2.448451","48.875661,2.485932","20 mail Jean-Pierre Timbaud - Centre Jean Vilar, 93110, France"
81,82,SAINT-DENIS,marché 1,services de la collectivité locale dont livres scolaires,2 place Victor Hugo,93200,70000,Pichon papeterie,GFS,non,42350,97 rue Jean Perrin,LA TALAUDIÈRE,"2 place Victor Hugo, SAINT-DENIS, France","97 rue Jean Perrin, LA TALAUDIÈRE, France","45.4667536,4.4225466","48.9361366,2.3583182","2 place Victor Hugo, 93200, France"
82,83,SAINT-DENIS,marché 1,services de la collectivité locale sans livres scolaires,2 place Victor Hugo,93200,240000,folies d'encre st denis,LGE,oui,93200,22 rue de Jean Jaurès,SAINT-DENIS,"2 place Victor Hugo, SAINT-DENIS, France","22 rue de Jean Jaurès, SAINT-DENIS, France","48.936848,2.3599493","48.9361366,2.3583182","2 place Victor Hugo, 93200, France"
83,84,SEVRAN,marché 1,livres scolaires,5 rue Roger Le Maner,93270,90000,Pichon papeterie,GFS,non,42350,97 rue Jean Perrin,LA TALAUDIÈRE,"5 rue Roger Le Maner, SEVRAN, France","97 rue Jean Perrin, LA TALAUDIÈRE, France","45.4667536,4.4225466","48.938629,2.5286685","5 rue Roger Le Maner, 93270, France"
